"Path","NewCurl","ExecuteSync","ExecuteAsync","HasHttpClientDI","MigrationStatus"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\_auditController.cs","7","0","7","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\_config.cs","3","0","3","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\_usersController.cs","2","0","2","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\abstractorDeidentifiedCaseController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\AccountController.cs","5","2","3","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\AccountController.OIDC.cs","3","1","2","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\aggregate_reportController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\case_viewController.pmss.cs","2","1","2","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\caseController.cs","9","0","9","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\caseController.pmss.cs","7","0","7","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\caseRevisionController.cs","4","1","3","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\caseRevisionList_case_viewController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\caseRevisionListController.cs","1","1","0","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\checkcodeController.cs","2","0","2","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\cvsAPIController.cs","7","0","7","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\data_summary_viewController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\de_idController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\de_identified_listController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\dqrReportController.cs","1","0","1","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\export_list_managerController.cs","2","0","2","False","Batch1-Done"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\export_queueController.cs","3","0","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\ije_messageController.cs","4","0","4","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\interactive_report_viewController.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\isDuplicateCaseController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\jurisdiction_treeController.cs","3","0","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\metadataController.cs","4","0","4","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\overdose_measureController.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\passwordChangeController.cs","3","0","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\pinned_casesController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\pmss_csv_importController.cs","2","0","4","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\populate_cdc_instanceController.cs","6","0","6","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\powerbi_measureController.cs","1","0","1","False",""
