"Path","NewCurl","ExecuteSync","ExecuteAsync","HasHttpClientDI","MigrationStatus"
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\record_idController.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\sessionController.cs","3","0","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\substance_mappingController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\ui_specificationController.cs","4","0","4","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\user_role_jurisdiction_viewController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\user_role_jurisdictionController.cs","6","0","6","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\userController.cs","8","0","8","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\validatorController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\version_attachController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\versionController.cs","6","0","6","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\vital_importController.cs","6","1","5","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\api\zipController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\backup_managerController.cs","9","0","7","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\broadcast_messageController.cs","3","0","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\CaseController.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\clear_case_status.cs","6","0","5","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\HomeController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\loggerController.cs","4","0","4","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\manage_usersController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\recover_deleted_case.cs","7","0","7","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\update_maiden_name.cs","4","1","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\update_year_of_death.cs","6","1","5","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Controllers\vitalsController.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\CustomAuthHandler.cs","2","2","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\Post_Session_Actor.cs","2","2","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Check_DB_Install.cs","13","12","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Process_Central_Pull_list.cs","16","8","9","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Process_DB_Synchronization_Set.cs","7","6","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Process_Migrate_Charactor_to_Numeric.cs","3","3","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Process_Migrate_Data.cs","3","3","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Rebuild_Export_Queue.cs","4","4","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Synchronize_Deleted_Case_Records.cs","2","2","4","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\Vital_Import_Synchronizer.cs","10","2","9","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\vital-import\PMSS_ItemProcessor.cs","1","8","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\quartz\vital-import\Vital_Import_Synchronizer.cs","10","2","9","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\Record_Session_Event.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\actor\SteveAPI_Instance.cs","3","3","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\rebuild_export_queue_job.cs","4","4","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\model\remove_deleted_job.cs","2","2","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\Program.cs","2","2","0","True",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\SharedLibraries\Case\DAL\CaseDAL.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\SharedLibraries\OfflineCase\DAL\OfflineCaseDAL.cs","6","0","6","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\SharedLibraries\Session\DAL\SessionDAL.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\authorization.cs","3","3","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\authorization.pmss.cs","3","3","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\authorization_case.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\authorization_case.pmss.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\authorization_user.cs","2","2","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\authorization_user.pmss.cs","2","2","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_cdc_de_identifier.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_convert_to_dqr_detail.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_convert_to_opioid_report_object.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_convert_to_report_object.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_db_setup.cs","50","1","49","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_de_identifier.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_document_sync_all.cs","10","0","12","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_document_sync_all.pmss.cs","10","0","12","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_generate_frequency_summary_report.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_sync_document.cs","7","5","8","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\c_sync_document.pmss.cs","7","5","8","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\CaseViewSearch.pmss.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\core_element_export\core_element_exporter.cs","6","6","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\exporter\export_all_generate_name_map.cs","1","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\exporter\exporter.cs","9","9","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\exporter\mmrds_exporter.cs","7","7","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\JurisdictionAuthorizationRequirement.cs","2","1","0","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\JurisdictionSummary.cs","3","0","3","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\OfflineSessionHelper.cs","2","0","2","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\SessionSummary.cs","1","0","1","False",""
"C:\repos\nccdphp-drh-mmria\source-code\mmria\mmria-server\util\VROSummary.cs","3","2","3","False",""
