"Priority","RelativePath","cURLCount","SyncAsync","HasHttpClientDI","FileType","Complexity","ExecuteSync","ExecuteAsync","MigrationStatus"
"P2","util/CaseViewSearch.pmss.cs","2","Async","False","Utility","Simple","0","2",""
"P2","util/JurisdictionAuthorizationRequirement.cs","2","Sync","False","Utility","Simple","1","0",""
"P2","util/JurisdictionSummary.cs","3","Async","False","Helper","Simple","0","3",""
"P2","util/OfflineSessionHelper.cs","2","Async","False","Helper","Simple","0","2",""
"P2","util/SessionSummary.cs","1","Async","False","Helper","Simple","0","1",""
"P2","util/VROSummary.cs","3","Mixed","False","Helper","Simple","2","3",""
"P3","model/actor/Post_Session_Actor.cs","2","Sync","False","Other (Actor)","Simple","2","0",""
"P3","model/actor/Record_Session_Event.cs","1","Async","False","Other (Actor)","Simple","0","1",""
"P3","model/actor/SteveAPI_Instance.cs","3","Sync","False","Other (Actor)","Simple","3","0",""
"P3","util/c_cdc_de_identifier.cs","1","Async","False","Utility","Simple","0","1",""
"P3","util/c_convert_to_dqr_detail.cs","1","Sync","False","Utility","Simple","1","0",""
"P3","util/c_convert_to_opioid_report_object.cs","1","Sync","False","Utility","Simple","1","0",""
"P3","util/c_convert_to_report_object.cs","1","Sync","False","Utility","Simple","1","0",""
"P3","util/c_de_identifier.cs","2","Async","False","Utility","Simple","0","2",""
"P3","util/c_generate_frequency_summary_report.cs","1","Sync","False","Utility","Simple","1","0",""
"P3","util/c_sync_document.cs","7","Mixed","False","Utility","Medium","5","8",""
"P3","util/c_sync_document.pmss.cs","7","Mixed","False","Utility","Medium","5","8",""
"P4","model/actor/quartz/Check_DB_Install.cs","13","Mixed","False","Other (Actor)","Complex","12","1",""
"P4","model/actor/quartz/Process_Central_Pull_list.cs","16","Mixed","False","Other (Actor)","Complex","8","9",""
"P4","model/actor/quartz/Process_DB_Synchronization_Set.cs","7","Mixed","False","Other (Actor)","Medium","6","3",""
"P4","model/actor/quartz/Process_Migrate_Charactor_to_Numeric.cs","3","Sync","False","Other (Actor)","Simple","3","0",""
"P4","model/actor/quartz/Process_Migrate_Data.cs","3","Sync","False","Other (Actor)","Simple","3","0",""
"P4","model/actor/quartz/Rebuild_Export_Queue.cs","4","Sync","False","Other (Actor)","Medium","4","0",""
"P4","model/actor/quartz/Synchronize_Deleted_Case_Records.cs","2","Mixed","False","Other (Actor)","Simple","2","4",""
"P4","model/actor/quartz/Vital_Import_Synchronizer.cs","10","Mixed","False","Other (Actor)","Medium","2","9",""
"P4","model/actor/quartz/vital-import/PMSS_ItemProcessor.cs","1","Mixed","False","Other (Actor)","Simple","8","1",""
"P4","model/actor/quartz/vital-import/Vital_Import_Synchronizer.cs","10","Mixed","False","Other (Actor)","Medium","2","9",""
"P4","model/rebuild_export_queue_job.cs","4","Sync","False","Other (Job)","Medium","4","0",""
"P4","model/remove_deleted_job.cs","2","Mixed","False","Other (Job)","Simple","2","2",""
"P4","Program.cs","2","Sync","True","Other (Host)","Simple","2","0",""
"P4","util/c_db_setup.cs","50","Mixed","False","Utility","Complex","1","49",""
"P4","util/c_document_sync_all.cs","10","Async","False","Utility","Medium","0","12",""
"P4","util/c_document_sync_all.pmss.cs","10","Async","False","Utility","Medium","0","12",""
"P4","util/core_element_export/core_element_exporter.cs","6","Sync","False","Utility","Medium","6","0",""
"P4","util/exporter/export_all_generate_name_map.cs","1","Sync","False","Utility","Simple","1","0",""
"P4","util/exporter/exporter.cs","9","Sync","False","Utility","Medium","9","0",""
"P4","util/exporter/mmrds_exporter.cs","7","Sync","False","Utility","Medium","7","0",""
