Timestamp,Level,Module,User,FileName,LineNumber,ColumnNumber,FunctionName,ErrorType,Message,StackTrace
2026-01-15T13:38:36.827Z,warn,OfflineHomePage,marta_offline,offline-home-page.js,52,20,anonymous,SyntaxError,Unable to check for active offline sessions: SyntaxError: Failed to execute 'json' on 'Response': Unexpected end of JSON input,"SyntaxError: Unexpected end of JSON input
    at https://test-mmria.apps.ecpaas-dev.cdc.gov/scripts/offline/offline-home-page.js:41:34"
2026-01-28T16:12:48.226Z,warn,OfflineHomePage,marta_offline,offline-home-page.js,52,20,anonymous,SyntaxError,Unable to check for active offline sessions: SyntaxError: Failed to execute 'json' on 'Response': Unexpected end of JSON input,"SyntaxError: Unexpected end of JSON input
    at https://test-mmria.apps.ecpaas-dev.cdc.gov/scripts/offline/offline-home-page.js:41:34"
2026-02-09T20:32:43.825Z,log,OfflineCaseManager,marta_offline,offline-case-manager.js,165,24,add_offline_mode_softlock,,Case successfully added to offline mode(soft lock): a0103263-654c-4d21-818e-3ddc0e1b78ba,
2026-02-09T20:42:53.206Z,log,OfflineCaseManager,marta_offline,offline-case-manager.js,165,24,add_offline_mode_softlock,,Case successfully added to offline mode(soft lock): d055795e-593b-4fa4-8d0b-6d926681fcf7,
2026-02-09T20:43:50.760Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,31,16,Object.go_offline_button_clicked [as goOfflineClicked],,Go Offline button clicked - showing modal,
2026-02-09T20:46:25.105Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,637,16,Object.go_offline_final [as goOfflineFinal],,"Starting offline mode transition... Offline case IDs: [""d055795e-593b-4fa4-8d0b-6d926681fcf7"",""a0103263-654c-4d21-818e-3ddc0e1b78ba""]",
2026-02-09T20:46:25.106Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,648,20,Object.go_offline_final [as goOfflineFinal],,Creating offline session,
2026-02-09T20:46:26.316Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,662,32,Object.go_offline_final [as goOfflineFinal],,"Offline session created successfully: {""auth_session"":null,""ok"":true,""id"":""ca8170de-b4c3-4f17-b40a-1220a5fca678"",""rev"":""1-1eb1dac2ce1e0770433b4179ba0df5a8"",""error_description"":null}",
2026-02-09T20:46:26.530Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,715,20,attempt_offline_transition,,Setting localStorage offline_session_id: ca8170de-b4c3-4f17-b40a-1220a5fca678,
2026-02-09T20:46:27.157Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,735,20,attempt_offline_transition,,Preparing service worker...,
2026-02-09T20:46:27.158Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,689,16,sync_log_data,,Syncing logs to server...,
2026-02-09T20:46:27.597Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,746,24,attempt_offline_transition,,Server service worker version: v114,
2026-02-09T20:46:27.778Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,759,20,attempt_offline_transition,,"Service worker registered: vv114, session: ca8170de-b4c3-4f17-b40a-1220a5fca678",
2026-02-09T20:46:27.779Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,766,24,attempt_offline_transition,,"Service worker is installing, sending SKIP_WAITING...",
2026-02-09T20:46:27.779Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,771,20,attempt_offline_transition,,Waiting for service worker to be ready...,
2026-02-09T20:46:27.856Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,693,24,sync_log_data,,Successfully synced 11 logs to server,
2026-02-09T20:46:28.093Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,778,24,attempt_offline_transition,,Service worker is ready,
2026-02-09T20:46:28.093Z,log,OfflineTransitionManager,marta_offline,offline-transition-manager.js,802,20,attempt_offline_transition,,Initializing new offline session...,
2026-02-09T20:46:28.094Z,log,ServiceWorkerManager,marta_offline,service-worker-manager.js,100,28,Object.initialize,,ServiceWorkerManager.session: Initializing new offline session...,
2026-02-09T20:46:28.095Z,log,ServiceWorker,marta_offline,service-worker.js,895,29,anonymous,,OFFLINE_SESSION_ID updated to: ca8170de-b4c3-4f17-b40a-1220a5fca678,
2026-02-09T20:46:28.096Z,log,ServiceWorker,marta_offline,service-worker.js,294,25,cacheStaticFilesForSession,,Caching static files for session to: mmria-static-v114-stable-session-1770669988094-41ea468b-937e-4e99-bdaf-5ae2bc633116,
2026-02-09T20:46:28.096Z,log,ServiceWorker,marta_offline,service-worker.js,276,21,initializeOfflineSessionCache,,"Updated cache names for session: {""static"":""mmria-static-v114-stable-session-1770669988094-41ea468b-937e-4e99-bdaf-5ae2bc633116"",""api"":""mmria-api-v114-stable-session-1770669988094-41ea468b-937e-4e99-bdaf-5ae2bc633116""}",
2026-02-09T20:46:28.096Z,log,ServiceWorker,marta_offline,service-worker.js,919,29,anonymous,,Received INIT_OFFLINE_SESSION message,
